role,title,channel,url,focus_area,skill_level
developer,GraphQL Tutorial for Beginners,The Net Ninja,https://www.youtube.com/watch?v=Y0lDGjwRYKw,API development,intermediate
developer,CI/CD Pipeline Explained in 10 Minutes,TechWorld with Nana,https://www.youtube.com/watch?v=scEDHsr3APg,DevOps,intermediate
developer,Kubernetes Tutorial for Beginners,freeCodeCamp,https://www.youtube.com/watch?v=X48VuDVv0do,DevOps,advanced
developer,How to Use ChatGPT for Coding,Web Dev Simplified,https://www.youtube.com/watch?v=2O8pkybH6po,AI tools,beginner
developer,Data Structures & Algorithms in Python,freeCodeCamp,https://www.youtube.com/watch?v=pkYVOmU3MgA,DSA,intermediate
developer,How to Build a REST API with Python,Traversy Media,https://www.youtube.com/watch?v=GMppyAPbLYk,backend development,intermediate
developer,Blockchain Explained in 5 Minutes,Simply Explained,https://www.youtube.com/watch?v=SSo_EIwHSd4,blockchain,beginner
developer,How to Optimize SQL Queries,Amigoscode,https://www.youtube.com/watch?v=9Pzj7Aj25lw,database,advanced
developer,Full Stack Development Roadmap,CodeWithHarry,https://www.youtube.com/watch?v=nknwAOtmtDk,career guidance,beginner
developer,How to Use Docker Compose,Fireship,https://www.youtube.com/watch?v=DM65_JyGxCo,DevOps,intermediate
developer,Python Pandas Tutorial,freeCodeCamp,https://www.youtube.com/watch?v=vmEHCJofslg,data analysis,intermediate
developer,How to Build a Web Scraper with Python,NeuralNine,https://www.youtube.com/watch?v=XVv6mJpFOb0,automation,intermediate
developer,How to Use GitHub Actions,Traversy Media,https://www.youtube.com/watch?v=R8_veQiYBjI,DevOps,intermediate
developer,How to Secure a Web Application,Fireship,https://www.youtube.com/watch?v=W0iVH0_QRQc,cybersecurity,intermediate
developer,How to Build a Chatbot with Python,freeCodeCamp,https://www.youtube.com/watch?v=1lwddP0KUEg,AI/ML,advanced
developer,How to Use TensorFlow for Beginners,Programming with Mosh,https://www.youtube.com/watch?v=tPYj3fFJGjk,ML/AI,beginner
developer,How to Build a Portfolio Website,DesignCourse,https://www.youtube.com/watch?v=_xkSvufmjEs,web development,beginner
developer,How to Use VS Code Like a Pro,Fireship,https://www.youtube.com/watch?v=ifTF3ags0XI,tools & IDE,beginner
developer,How to Build a Mobile App with React Native,Academind,https://www.youtube.com/watch?v=0-S5a0eXPoc,mobile development,intermediate
developer,How to Use MongoDB with Node.js,The Net Ninja,https://www.youtube.com/watch?v=ExcRbA7fy_A,database,intermediate
